"STT","Tỉnh Thành","Quận Huyện"
"559","Quảng Trị","Thị xã Quảng Trị"
"560","Quảng Trị","Huyện Cam Lộ"
"561","Quảng Trị","Huyện Cồn Cỏ"
"562","Quảng Trị","Huyện Đakrông"
"563","Quảng Trị","Huyện Gio Linh"
"564","Quảng Trị","Huyện Hải Lăng"
"565","Quảng Trị","Huyện Hướng Hóa"
"566","Quảng Trị","Huyện Triệu Phong"
"567","Quảng Trị","Huyện Vĩnh Linh"
"568","Sóc Trăng","Thành phố Sóc Trăng (tỉnh lỵ)"
"569","Sóc Trăng","Thị xã Ngã Năm"
"570","Sóc Trăng","Thị xã Vĩnh Châu"
"571","Sóc Trăng","Huyện Châu Thành"
"572","Sóc Trăng","Huyện Cù Lao Dung"
"573","Sóc Trăng","Huyện Kế Sách"
"574","Sóc Trăng","Huyện Long Phú"
"575","Sóc Trăng","Huyện Mỹ Tú"
"576","Sóc Trăng","Huyện Mỹ Xuyên"
"577","Sóc Trăng","Huyện Thạnh Trị"
"578","Sóc Trăng","Huyện Trần Đề"
"579","Sơn La","Thành phố Sơn La (tỉnh lỵ)"
"580","Sơn La","Huyện Bắc Yên"
"581","Sơn La","Huyện Mai Sơn"
"582","Sơn La","Huyện Mộc Châu"
"583","Sơn La","Huyện Mường La"
"584","Sơn La","Huyện Phù Yên"
"585","Sơn La","Huyện Quỳnh Nhai"
"586","Sơn La","Huyện Sông Mã"
"587","Sơn La","Huyện Sốp Cộp"
"588","Sơn La","Huyện Thuận Châu"
"589","Sơn La","Huyện Vân Hồ"
"590","Sơn La","Huyện Yên Châu"
"591","Tây Ninh","Thành phố Tây Ninh (tỉnh lỵ)"
"592","Tây Ninh","Thị xã Hòa Thành"
"593","Tây Ninh","Thị xã Trảng Bàng"
"594","Tây Ninh","Huyện Bến Cầu"
"595","Tây Ninh","Huyện Châu Thành"
"596","Tây Ninh","Huyện Dương Minh Châu"
"597","Tây Ninh","Huyện Gò Dầu"
"598","Tây Ninh","Huyện Tân Biên"
"599","Tây Ninh","Huyện Tân Châu"
"600","Thái Bình","Thành phố Thái Bình (tỉnh lỵ)"
"601","Thái Bình","Huyện Đông Hưng"
"602","Thái Bình","Huyện Hưng Hà"
"603","Thái Bình","Huyện Kiến Xương"
"604","Thái Bình","Huyện Quỳnh Phụ"
"605","Thái Bình","Huyện Thái Thụy"
"606","Thái Bình","Huyện Tiền Hải"
"607","Thái Bình","Huyện Vũ Thư"
"608","Thái Nguyên","Thành phố Thái Nguyên (tỉnh lỵ)"
"609","Thái Nguyên","Thành phố Sông Công"
"610","Thái Nguyên","Thị xã Phổ Yên"
"611","Thái Nguyên","Huyện Đại Từ"
"612","Thái Nguyên","Huyện Định Hóa"
"613","Thái Nguyên","Huyện Đồng Hỷ"
"614","Thái Nguyên","Huyện Phú Bình"
"615","Thái Nguyên","Huyện Phú Lương"
"616","Thái Nguyên","Huyện Võ Nhai"
"617","Thanh Hóa","Thành phố Thanh Hóa (tỉnh lỵ)"
"618","Thanh Hóa","Thành phố Sầm Sơn"
"619","Thanh Hóa","Thị xã Bỉm Sơn"
"620","Thanh Hóa","Thị xã Nghi Sơn"
"621","Thanh Hóa","Huyện Bá Thước"
"622","Thanh Hóa","Huyện Cẩm Thủy"
"623","Thanh Hóa","Huyện Đông Sơn"
"624","Thanh Hóa","Huyện Hà Trung"
"625","Thanh Hóa","Huyện Hậu Lộc"
"626","Thanh Hóa","Huyện Hoằng Hóa"
"627","Thanh Hóa","Huyện Lang Chánh"
"628","Thanh Hóa","Huyện Mường Lát"
"629","Thanh Hóa","Huyện Nga Sơn"
"630","Thanh Hóa","Huyện Ngọc Lặc"
"631","Thanh Hóa","Huyện Như Thanh"
"632","Thanh Hóa","Huyện Như Xuân"
"633","Thanh Hóa","Huyện Nông Cống"
"634","Thanh Hóa","Huyện Quan Hóa"
"635","Thanh Hóa","Huyện Quan Sơn"
"636","Thanh Hóa","Huyện Quảng Xương"
"637","Thanh Hóa","Huyện Thạch Thành"
"638","Thanh Hóa","Huyện Thiệu Hóa"
"639","Thanh Hóa","Huyện Thọ Xuân"
"640","Thanh Hóa","Huyện Thường Xuân"
"641","Thanh Hóa","Huyện Triệu Sơn"
"642","Thanh Hóa","Huyện Vĩnh Lộc"
"643","Thanh Hóa","Huyện Yên Định"
"644","Thừa Thiên Huế","Thành phố Huế (tỉnh lỵ)"
"645","Thừa Thiên Huế","Thị xã Hương Thủy"
"646","Thừa Thiên Huế","Thị xã Hương Trà"
"647","Thừa Thiên Huế","Huyện A Lưới"
"648","Thừa Thiên Huế","Huyện Nam Đông"
"649","Thừa Thiên Huế","Huyện Phong Điền"
"650","Thừa Thiên Huế","Huyện Phú Lộc"
"651","Thừa Thiên Huế","Huyện Phú Vang"
"652","Thừa Thiên Huế","Huyện Quảng Điền"
"653","Tiền Giang","Thành phố Mỹ Tho (tỉnh lỵ)"
"654","Tiền Giang","Thị xã Cai Lậy"
"655","Tiền Giang","Thị xã Gò Công"
"656","Tiền Giang","Huyện Cái Bè"
"657","Tiền Giang","Huyện Cai Lậy"
"658","Tiền Giang","Huyện Châu Thành"
"659","Tiền Giang","Huyện Chợ Gạo"
"660","Tiền Giang","Huyện Gò Công Đông"
"661","Tiền Giang","Huyện Gò Công Tây"
"662","Tiền Giang","Huyện Tân Phú Đông"
"663","Tiền Giang","Huyện Tân Phước"
"664","Trà Vinh","Thành phố Trà Vinh (tỉnh lỵ)"
"665","Trà Vinh","Thị xã Duyên Hải"
"666","Trà Vinh","Huyện Càng Long"
"667","Trà Vinh","Huyện Cầu Kè"
"668","Trà Vinh","Huyện Cầu Ngang"
"669","Trà Vinh","Huyện Châu Thành"
"670","Trà Vinh","Huyện Duyên Hải"
"671","Trà Vinh","Huyện Tiểu Cần"
"672","Trà Vinh","Huyện Trà Cú"
"673","Tuyên Quang","Thành phố Tuyên Quang (tỉnh lỵ)"
"674","Tuyên Quang","Huyện Chiêm Hóa"
"675","Tuyên Quang","Huyện Hàm Yên"
"676","Tuyên Quang","Huyện Lâm Bình"
"677","Tuyên Quang","Huyện Na Hang"
"678","Tuyên Quang","Huyện Sơn Dương"
"679","Tuyên Quang","Huyện Yên Sơn"
"680","Vĩnh Long","Thành phố Vĩnh Long (tỉnh lỵ)"
"681","Vĩnh Long","Thị xã Bình Minh"
"682","Vĩnh Long","Huyện Bình Tân"
"683","Vĩnh Long","Huyện Long Hồ"
"684","Vĩnh Long","Huyện Mang Thít"
"685","Vĩnh Long","Huyện Tam Bình"
"686","Vĩnh Long","Huyện Trà Ôn"
"687","Vĩnh Long","Huyện Vũng Liêm"
"688","Vĩnh Phúc","Thành phố Vĩnh Yên (tỉnh lỵ)"
"689","Vĩnh Phúc","Thành phố Phúc Yên"
"690","Vĩnh Phúc","Huyện Bình Xuyên"
"691","Vĩnh Phúc","Huyện Lập Thạch"
"692","Vĩnh Phúc","Huyện Sông Lô"
"693","Vĩnh Phúc","Huyện Tam Đảo"
"694","Vĩnh Phúc","Huyện Tam Dương"
"695","Vĩnh Phúc","Huyện Vĩnh Tường"
"696","Vĩnh Phúc","Huyện Yên Lạc"
"697","Yên Bái","Thành phố Yên Bái (tỉnh lỵ)"
"698","Yên Bái","Thị xã Nghĩa Lộ"
"699","Yên Bái","Huyện Lục Yên"
"700","Yên Bái","Huyện Mù Cang Chải"
"701","Yên Bái","Huyện Trạm Tấu"
"702","Yên Bái","Huyện Trấn Yên"
"703","Yên Bái","Huyện Văn Chấn"
"704","Yên Bái","Huyện Văn Yên"
"705","Yên Bái","Huyện Yên Bình"
